,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
368,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
369,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
370,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
371,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
372,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
373,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
374,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
375,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,47500.0,contemplado
376,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
377,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
378,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
379,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
380,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
381,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18800.0,contemplado
382,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
383,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,48000.0,contemplado
384,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
385,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
386,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
387,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
388,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
389,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
390,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
391,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
392,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,23857.989999999998,contemplado
393,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
394,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
395,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
396,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
397,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
398,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,21995.0,contemplado
399,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
400,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
401,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
402,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
403,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
404,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
405,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
406,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
407,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
408,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
